Title,Price,Review,Link
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windows 1...,"₹1,39,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-pro-ai-pc-full-metal-chasis-intel-core-ultra-7-256v-16-gb-512-gb-ssd-windows-11-home-np940xha-thin-light-laptop/p/itm87a0d01864c90?pid=COMH9PHPCDPVCC8H&lid=LSTCOMH9PHPCDPVCC8HMTZ3H8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJsx10JZbapJrPzl6TSOOog8dpz3tCVN63ppYcyzIPSiEssrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"₹1,31,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-pro-ai-pc-full-metal-chasis-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-np940xha-thin-light-laptop/p/itm6b8e57b0765e8?pid=COMH9PHPSDPFK5DE&lid=LSTCOMH9PHPSDPFK5DEIM7NLT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJtuSAYHDHJpmKJo9capCwjMNh6rgto_DHniuZBno361XcDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,"₹42,990",4.2,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,"₹14,990",3.8,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1400cka-nk0453/p/itm3cc0cadd59faf?pid=COMGSHM3RGXQ6ZVX&lid=LSTCOMGSHM3RGXQ6ZVXMNXMLN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGSHM3RGXQ6ZVX.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹16,990",3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_T_bUthUee67eyN5nOlozve_t4VJOe93-gXoZwVJ6PZT10X-IJRJXHRpr6qU-f9carckD4BH12_KyZxLeO4UOvA%3D%3D&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 ...,"₹1,81,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-pro-ai-pc-full-metal-chasis-intel-core-ultra-7-258v-32-gb-1-tb-ssd-windows-11-home-np960xha-thin-light-laptop/p/itm8389fa3967010?pid=COMH9PHPDCXYMYVR&lid=LSTCOMH9PHPDCXYMYVR13EJD2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_T_bUthUee67eyN5nOlozve_t4VJOe93-gXoZwVJ6PZQ7CjRZtTRf_ytn_-ROaABWY7iSV34w7y38k2WA_Rnwgnbokvd1CzEZnIJbyf1TmFY%3D&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹15,990",3.7,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=caaebfc4-ceea-4456-9153-afbfc59f13a7.COMH7NCZGGGWQC4W.SEARCH&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"₹32,990",4.3,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=caaebfc4-ceea-4456-9153-afbfc59f13a7.COMH4Y6KT9ZMYXA6.SEARCH&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...,"₹33,470",3.8,https://www.flipkart.com/hp-g9-intel-core-i3-13th-gen-1315u-turbo-boost-finger-print-16-gb-512-gb-ssd-windows-11-pro-250r-business-laptop/p/itmff5abac6385ed?pid=COMH7Z2FGDVU8DZT&lid=LSTCOMH7Z2FGDVU8DZTN7J6EB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=caaebfc4-ceea-4456-9153-afbfc59f13a7.COMH7Z2FGDVU8DZT.SEARCH&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,"₹18,990",3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_T_bUthUee67eyN5nOlozve_t4VJOe93-gXoZwVJ6PZRctP0GZ1_Zu4islhjQA09E7fOXJs0RvuyDY2kW6HX-9g%3D%3D&ppt=sp&ppn=sp&ssid=imvs9elsgg0000001744952661687&qH=312f91285e048e09
